Date,Open,High,Low,Close,Adj Close,Volume
1977-01-03,1.350000,1.368750,1.350000,1.362500,0.043551,1715200
1977-01-04,1.362500,1.368750,1.340625,1.343750,0.042952,411200
1977-01-05,1.343750,1.346875,1.325000,1.325000,0.042353,320000
1977-01-06,1.325000,1.337500,1.325000,1.328125,0.042453,592000
1977-01-07,1.325000,1.325000,1.300000,1.315625,0.042053,387200
1977-01-10,1.309375,1.309375,1.300000,1.303125,0.041654,168000
1977-01-11,1.300000,1.300000,1.268750,1.268750,0.040555,387200
1977-01-12,1.268750,1.268750,1.231250,1.243750,0.039756,1211200
1977-01-13,1.243750,1.243750,1.225000,1.234375,0.039456,624000
1977-01-14,1.234375,1.306250,1.231250,1.306250,0.041753,1104000
1977-01-17,1.303125,1.303125,1.293750,1.300000,0.041554,280000
1977-01-18,1.300000,1.343750,1.293750,1.343750,0.042952,592000
1977-01-19,1.356250,1.412500,1.356250,1.412500,0.045150,2563200
1977-01-20,1.412500,1.446875,1.406250,1.425000,0.045549,3819200
1977-01-21,1.425000,1.450000,1.412500,1.412500,0.045150,2304000
1977-01-24,1.412500,1.412500,1.393750,1.400000,0.044750,896000
1977-01-25,1.406250,1.431250,1.406250,1.406250,0.044950,1067200
1977-01-26,1.406250,1.412500,1.393750,1.400000,0.044750,1872000
1977-01-27,1.400000,1.406250,1.387500,1.393750,0.044550,619200
1977-01-28,1.393750,1.406250,1.393750,1.400000,0.044750,435200
1977-01-31,1.412500,1.446875,1.412500,1.446875,0.046248,1632000
1977-02-01,1.446875,1.478125,1.446875,1.465625,0.046848,1139200
1977-02-02,1.468750,1.506250,1.468750,1.490625,0.047647,1755200
1977-02-03,1.490625,1.490625,1.468750,1.490625,0.047647,771200
1977-02-04,1.496875,1.525000,1.496875,1.506250,0.048146,1448000
1977-02-07,1.506250,1.518750,1.481250,1.496875,0.047847,715200
1977-02-08,1.496875,1.496875,1.462500,1.487500,0.047547,664000
1977-02-09,1.478125,1.478125,1.418750,1.453125,0.046448,1328000
1977-02-10,1.453125,1.456250,1.431250,1.443750,0.046149,1576000
1977-02-11,1.443750,1.443750,1.409375,1.415625,0.045250,1248000
1977-02-14,1.415625,1.434375,1.400000,1.428125,0.045649,691200
